id,organization_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,fees_description,wait_time,accreditations,eligibility_description,minimum_age,maximum_age,required_documents,notes
service_2460,537ad64c-6a0b-0900-dac3-1c55f2a7e204,CalWORKs,,"SFHSA has the California Work Opportunity and Responsibility to Kids (CalWORKs) program to provide eligible families and expectant mothers with a variety of temporary services, including the following:

- Cash assistance (Financial support, Diversion, and Immigrant support)
- Child care and parenting (including free diapers)
- Employment and education (including job assistance)
- Food and health (CalFresh, CalMedi, and counseling)
- Housing assistance (including eviction prevention)
- Transportation allowance
- Other free or steeply discounted services


",https://www.sfhsa.org/services/jobs-money/calworks,CalWORKs@sfgov.org,approved,,"1) View the Fact Sheet to check your eligibility for CalWORKs at https://www.sfhsa.org/services/financial-assistance/calworks/check-calworks-eligibility

2) If you are eligible, there are three ways to apply for CalWORKs:

- In person at 170 Otis Street Service Center  
- By calling (855) 557-5100
- Online at [BenefitsCal] (https://benefitscal.com/)
- Download the application on the [website] (https://www.sfhsa.org/services/financial-assistance/calworks/apply-calworks) based on your language then submitting it by:
     -Mail: PO Box 7988, San Francisco, CA 94120
     -FAX (415) 557-5478
     - Drop-off 170 Otis Street or 3120 Mission Street, Monday through Friday, 8:00 a.m. to 5:00 p.m.
-View the types of [verification documents] (https://www.sfhsa.org/types-verification-calfresh-and-calworks)

Schedule and complete CalWORKS appointment

Attend a CalWORKs information sessn

Submit your paperwork by the due data

Can take up to 45 days to determine CalWORKS eligibility

Contact your Case Manager for questions (find your Case Manager by calling (855) 557-5100",,,,Low-Income; Caregivers with children below 18 years old,,,"- Proof of income and property
- Information regarding citizenship status and residence (You do not need to be a U.S. citizen to apply.)
- Social Security number
- Work or school status
",
service_228,ea5fba68-1125-fa0f-fe64-2d00afe89037,Compass Family Shelter,,"Compass Family Shelter offers families facing homelessness a safe, temporary place to stay and offers services designed to help families secure and maintain permanent housing.

Services:
- Emergency shelter for 22 families for up to six months
- Intensive case management geared towards obtaining housing and stability
- Individual, family, couples, and child therapy
- Housing-related financial assistance
- Follow up case management that focuses on homelessness prevention and family self-sufficiency
- Pre-employment support and life skills workshops
- Children’s activities, academic support, play groups, and field trips
- Access to a food pantry, clothing closet, personal hygiene products, diapers and baby supplies, and transportation assistance
",https://www.compass-sf.org/emergency-housing-assistance,,approved,,"How to get connected:
- In person: 37 Grove Street during operating hours to meet with an Access Point staff member for an eligibility assessment
- By phone: Call 415-644-0504 and follow the instructions to be directed to Central City Access Point. Calls will be returned within two business days
- Online: Learn more about Family Coordinated Entry and Family Access Points.",Free,,,Low-Income; San Francisco Residents; Experiencing Homelessness; Families with children below 18 years old; Adults; Low-Income; Single Parent,,,,
service_194,cf8f760f-a37c-c97b-8b46-235d9d212bf6,Rosalie House Emergency Shelter,,"*St. Vincent de Paul Society has a 23-bed emergency shelter where **women who are domestic violence survivors and their children** can stay for up to 12 weeks. Additionally, the Rosalie House offers the following support services:*
- Safety Planning
- One-on-One Counseling
- Support Groups
- Case Management
- Parenting Groups
- Legal Assistance
- Employment/Education Referrals
- Housing Search Assistance
- Meals


# **How to Apply:**
- For emergency shelter, call by phone.

# **Service Contact Information:**
- *** Phone number:*** 415-255-0165
- *** Email:*** info@svdp-sf.org
",https://svdp-sf.org/rosalie-house/,info@svdp-sf.org,approved,Services are available in Spanish and Mandarin (will get other interpreters as necessary).,,,,,HIV/AIDS; Families with children below 18 years old; Women; Domestic Violence Survivors; Children (0-13 years old); Teens (13-18 years old); Anyone in Need,,,,
service_1754,ea5fba68-1125-fa0f-fe64-2d00afe89037,Compass SF HOME,,"Compass SF HOME promotes long-term housing stability through housing search assistance, rental subsidies, and case management.

Services:
- Intensive, hands-on support to help families find safe, permanent housing
- Rental subsidies coupled with intensive case management
- Assistance with security deposits and other move-in costs for families who have located housing
- Aftercare case management for families who have exited a Compass program into permanent housing and want to continue to receive ongoing support.

",https://www.compass-sf.org/our-programs,info@compass-sf.org,approved,,"How to get connected:
- Call the 24-hour SF HOME hotline 415-547-0310 and leave a voice or text message. They will respond within two business days. 
- Contact (415) 644-0504 

Go to 37 Grove Street- Family Coordinated Entry Access Point
",,,,Experiencing Homelessness; San Francisco Residents,,,,
service_1753,ea5fba68-1125-fa0f-fe64-2d00afe89037,Compass Clara House,,"Compass Clara House is an 6–18 month transitional housing program where families live in private apartments and receive intensive wrap-around support. 

Services:
- Housing in 13 individual family apartments within a uniquely supportive community
- 6 to 18-month action plans designed with each family to help clients achieve their education, career and housing goals
- Intensive case management
- Hands-on employment, education, and life skills support for parents
- Full-day licensed childcare for children through age five, and an afterschool homework and tutoring program for older children and teenagers
- Housing search assistance for families graduating from the program
- Follow-up after-care support provided for one year

Compass Clara House/Helen Hawk Children’s Center participates in the California Child & Adult Food Program (CACFP).

",https://www.compass-sf.org/our-programs,info@compass-sf.org,approved,,"How to get connected:
- In person: 37 Grove Street during operating hours to meet with an Access Point staff member for an eligibility assessment
- By phone: Call us at 415-644-0504 and follow the instructions to be directed to Central City Access Point. Calls will be returned within two business days
- Online: Learn more about Family Coordinated Entry and Family Access Points.
- Contact Nikita Farr, Program Director at nfarr@compass-sf.org or Barbara Whitaker, MA, Assistant Program Director at bwhitaker@compass-sf.org",,,,Teen Parent; Single Parent; San Francisco Residents; Near Homeless; Low-Income; Infants (0-2 years old); Homeless Youth; Children (0-13 years old); Adults; Experiencing Homelessness; Families with children below 18 years old,,,,
service_1090,07491670-7d7b-0d3b-d8ab-b71a7b7777bb,Family Wellness Program,,"Due to budget reductions in the City and County of San Francisco impacting community-based programs across the city, CARECEN SF will temporarily pause some services within their Family Wellness Program.

These services continue:
bilingual peer support groups, workshops, community events, distribution of basic needs, information and referrals, language access assistance, and assistance with urgent needs.


CARECEN's Family Wellness Program staff guide low-income, immigrant and recently arrived children and families to vital services and local resources including crisis management, making referrals, advocating on their behalf and providing emotional support to help families.

Comprehensive case management and family support
Information, referrals and service connection
Individual and family counseling
System navigation and advocacy
Language access support
",https://carecensf.org/programs/family-wellness/,info@carecensf.org,approved,,"Eligibility: Low-income and immigrant families with children birth to 18-years-old
Recently arrived unaccompanied children and families in San Francisco Immigration Court

Call (415) 872-7465 on Wednesdays 9am-12pm for a free consultation.",Free,,,Immigrants; Low-Income; Hispanic/Latinx; Anyone in Need; San Francisco Residents,,,,"Free consultations are offered every Wednesday between 9 am and 12 pm.
"
service_3606,1af75742-57b8-5771-69cf-b7dc1502dea1,Umoja Health Access Point ,Umoja HAP,"Umoja HAP is a groundbreaking initiative designed to provide comprehensive health and wellness services specifically created for and by the Black community. By bringing essential services together in one location, Umoja HAP works to address health disparities and remove barriers to care while ensuring services are delivered with dignity, cultural responsiveness, and compassion.

Our Services:
- Mental Health Services
- STI Testing
- HIV & AIDS Support
- Overdose Prevention
- Holistic Wraparound
- Food Access
- Family Planning Support
- Workforce Development Services
- COVID-19 Support
",https://rafikicoalition.org/programs-and-services/umoja-hap/,info@rafikicoalition.org,approved,,"Walk In
Stop by during walk-in hours. No appointment is required for many services.

Call Ahead
Call 415-615-9945 to speak with a team member or schedule an appointment.

Get Referred
Ask your case manager, healthcare provider, or a community organization to refer you.",Free,,,San Francisco Residents; African/Black; Individuals; Adults; All Ages; Middle Eastern and North African; Transgender and Gender Non-Conforming; LGBTQ+,,,,
service_2401,7c07a176-96b4-570e-eb58-726c0a557e63, Emergency Family Shelter,,"*Providence Foundation's operates the Oasis Shelter for **families** needing an emergency place to stay.*

- You can stay for up to 14 days per visit.

# **How to Apply:**
- Visit a [Coordinated Access Point](https://hsh.sfgov.org/services/how-to-get-services/accessing-temporary-shelter/family-temporary-shelter/) to access shelter resources.

# **Service Contact Information:**
- *** Phone number:*** 415-368-1798

",https://hsh.sfgov.org/services/how-to-get-services/accessing-temporary-shelter/family-temporary-shelter/,,approved,,,,,,Experiencing Homelessness,,,,
service_5655,0a440b9d-cc17-9017-556c-e69d4c624ca5,Residential Services,,"Provides residential services for formerly-homeless families since the early 2000s, enabling them to maintain stable housing and live independently. Clients are referred to these programs through San Francisco’s coordinated care system.  Locations include:
- Arlington Residence
- Bayview Hill Gardens and Monterey Apartments
- Holloway House",https://www.bayviewci.org/residential-and-homeless-services,info@bayviewci.org,approved,,,,,,Experiencing Homelessness; Families with children below 18 years old; Low-Income; Caregivers with children below 18 years old; San Francisco Residents,,,,
service_3317,2385c306-3ec1-6278-21e2-9ce38c4ca4f3,Queen of Peace Shelter,,"*Missionaries of Charity's Queen of Peace Shelter provides short-term emergency shelter for **pregnant women (aged 18 years and older)** with up to two children (aged 5 years and younger).*
- The shelter has 4 shared rooms that can each fit 2 people.
- Meals and laundry services are available if needed.
- Residents can go outside the shelter at 9:30AM but must return by curfew at 5PM.


# **Open Hours:**
- Monday to Wednesday, Friday to Sunday: 9AM to 11AM, 2PM to 3PM


",,,approved,,"# **How to Apply:**
- Call 415-550-2465 to schedule an intake interview during open hours.

# **Service Contact Information:**
- ***Phone number:*** 415-550-2465",,,,Families with children below 18 years old; I live with someone under 18 years of age; Women; Pregnant,,,"# **Eligibility:**
- Be clean and sober, and able to live a communal life
- Be getting help from a social worker (if possible)
- Women are required to leave 6 weeks post-delivery of the infant. 
- Women must also abide by rules (clean bed, room, no smoking, etc).",
service_49,d41d8cd9-8f00-b204-e980-0998ecf8427e,,,,,,active,,,,,,,,,,
